Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2018-01-02,237.90911865234375,237.94453331190397,236.69642994374126,237.0859101584929,86655700
2018-01-03,239.41395568847656,239.56444774700554,238.07732904047535,238.07732904047535,90070400
2018-01-04,240.42303466796875,240.90989847444283,239.47591532497438,240.06013568466005,80636400
2018-01-05,242.02525329589844,242.14916410368429,240.72404124003702,241.21973849812952,83524000
2018-01-08,242.46786499023438,242.62719047822787,241.63579586829886,241.92789259628694,57319200
2018-01-09,243.01670837402344,243.64517701617598,242.60950715709643,242.89277052187663,57254000
2018-01-10,242.64488220214844,242.91045169331238,241.5826852779233,242.25540189255616,69574300
2018-01-11,244.41525268554688,244.41525268554688,243.03437768838955,243.2025636059196,62361500
2018-01-12,246.00851440429688,246.17667325756935,244.37976421968455,244.6807483069395,90816100
2018-01-16,245.1675567626953,247.92930560416235,244.4682591350587,247.27428304940773,106555100
2018-01-17,247.5045166015625,247.8939969394225,245.1676615878812,246.10594776177703,113258800
2018-01-18,247.0885009765625,247.8143261157621,246.59277664259207,247.38945813447023,100728000
2018-01-19,248.21266174316406,248.21266174316406,247.08849588120745,247.67268934343676,140920100
2018-01-22,250.23080444335938,250.23080444335938,247.94703159573973,248.0001670927858,91322400
2018-01-23,250.76193237304688,251.05402905144194,249.94755721688517,250.27506855775837,97084700
2018-01-24,250.66455078125,252.0100378313035,249.4784162068684,251.40809661831878,134816100
2018-01-25,250.77076721191406,251.62939044097675,249.97411288917417,251.53203388544608,84587300
2018-01-26,253.67408752441406,253.71836259553558,251.35492742317874,251.61163639259166,107743100
2018-01-29,251.99237060546875,253.54143151563187,251.83304510937253,253.0988426841567,90118300
2018-01-30,249.40762329101562,252.0454349761544,248.9296198729371,250.15116915609678,131796400
2018-01-31,249.5315704345703,250.7708137235107,248.45165263703416,250.26628300073054,108364800
2018-02-01,249.24827575683594,250.55834821949227,248.45162138654095,248.79685358797087,90102500
2018-02-02,243.8220977783203,248.0532441863662,243.78668312259475,247.92044598076222,173174800
2018-02-05,233.62490844726562,244.1762369170298,233.07610267865175,242.05181616190578,294681800
2018-02-06,238.22784423828125,238.73240193747867,228.9954486469597,230.0930601917605,355026800
2018-02-07,236.93545532226562,241.0869126296822,236.85576558145914,237.67014070555834,167376100
2018-02-08,228.04832458496094,237.37810467355715,228.01290991483094,237.2364730065155,246449500
2018-02-09,231.4739227294922,233.34163434030648,223.879097946087,230.85428765675775,283565300
2018-02-12,234.8730010986328,236.35125945040988,231.61555429185336,233.53637439238625,143736000
2018-02-13,235.45718383789062,236.00598949310194,233.07605451694866,233.66027483124552,81223600
2018-02-14,238.6350555419922,238.9979816446257,233.95245789340274,233.96131831481426,120735700
2018-02-15,241.6800079345703,241.68886835374218,237.90914319970344,240.3876563687158,111200300
2018-02-16,241.75082397460938,243.70708577955176,241.0072780857276,241.05155317062778,160420100
2018-02-20,240.2371826171875,242.24655295225645,239.4405282217326,240.7948487980485,86369700
2018-02-21,239.04220581054688,243.17599718766897,238.9448492386795,240.67978981253682,98883700
2018-02-22,239.3519744873047,241.6976893017276,238.67925800174504,239.97160950098848,110511300
2018-02-23,243.16705322265625,243.16705322265625,240.10434726918714,240.58235058420374,92766400
2018-02-26,245.9907684326172,246.08815198347745,243.6539143870503,244.24696805572884,86491400
2018-02-27,242.919189453125,246.89365372744635,242.85722056157206,246.17663529305673,99099200
2018-02-28,240.4584503173828,244.47716352801365,240.13979939995758,244.02571438152242,121907800
2018-03-01,236.96197509765625,241.8038960313093,235.45716287539642,240.2459753318843,176855100
2018-03-02,238.18356323242188,238.7500898308051,234.4127252391493,235.28018194939543,139083200
2018-03-05,240.93643188476562,241.5560668527112,236.88230437934504,236.98854835566948,97307400
2018-03-06,241.54721069335938,241.9986598069212,240.04239832380006,241.91897006990544,79213200
2018-03-07,241.458740234375,241.8128058652085,239.17499395404417,239.36973410302403,87063500
2018-03-08,242.62716674804688,242.75107755543033,241.14007497859853,242.14030289771503,66901200
2018-03-09,246.84945678710938,246.84945678710938,243.72478114474626,244.04345910683665,113625300
2018-03-12,246.53961181640625,247.7700214292261,246.15013158022384,247.1415530081702,71924800
2018-03-13,244.9463348388672,248.212642187746,244.33556016299715,247.70808449664028,91968900
2018-03-14,243.6893310546875,246.09701469919077,243.13169197567302,245.91113500618593,105895100
2018-03-15,243.4237823486328,244.84890498064456,242.91922475289553,244.20274277430366,83433000
2018-03-16,243.6878204345703,244.74540281366646,243.63449923240321,243.9544264454057,100343700
2018-03-19,240.39051818847656,243.86542609778178,238.72861160612536,242.9322784074564,109208400
2018-03-20,240.7993927001953,241.43927403947436,240.1150589591412,240.79049679550818,59757300
2018-03-21,240.33721923828125,242.8611878844434,240.12393451714757,240.75491989827356,78709600
2018-03-22,234.32952880859375,238.9508706262018,234.05399981664527,238.09770441892513,148785900
2018-03-23,229.3348388671875,235.10266655097718,229.139318824997,234.77384355312483,183534800
2018-03-26,235.60928344726562,235.89368124637934,230.5435798686785,232.96090691781137,141956100
2018-03-27,231.6011505126953,237.0845546077368,230.0369898178164,236.55134266326948,129941400
2018-03-28,230.9168243408203,233.4141602650466,229.80592088339455,231.73446121901893,146452300
2018-03-29,233.867431640625,235.74265111044187,230.92576093676942,232.06332519274676,111601600
2018-04-02,228.81942749023438,233.84960106935486,226.33100129597292,233.3341267313607,186286300
2018-04-03,231.75213623046875,232.2320539324317,228.25946362106563,230.063569052932,119956900
2018-04-04,234.2317657470703,234.94273309818178,228.04626300306973,228.1795659911949,123715300
2018-04-05,236.08030700683594,236.96902969162903,234.9071865537097,236.00029809814026,82652600
2018-04-06,230.81906127929688,235.60926254045447,229.29045714678506,234.10734612580416,179521200
2018-04-09,231.95663452148438,235.3693265793845,231.0145905893296,232.28545759494108,105442900
2018-04-10,235.6448211669922,236.43579739740815,233.71630807413945,234.86274084261026,103529000
2018-04-11,234.4095458984375,236.0803491838124,234.08072278578433,234.1518086797355,91140200
2018-04-12,236.33804321289062,237.2889831000572,235.56485873102008,235.74261413631612,68890500
2018-04-13,235.6448211669922,237.76888146260518,234.63169138070813,237.65334317082176,85079200
2018-04-16,237.5822296142578,238.3554411524752,236.46245744482425,237.28896305412786,63405300
2018-04-17,240.12399291992188,240.72831785788958,238.8442300385403,239.35967728053276,64682000
2018-04-18,240.30169677734375,241.11041040878828,239.83954370605076,240.56830268642886,57303900
2018-04-19,238.9686737060547,239.84850055124213,237.92885615310644,239.6440845545659,77655900
2018-04-20,236.9423370361328,239.11971841716232,236.05361436986175,238.89753775059452,99953100
2018-04-23,236.90684509277344,238.0799657068254,235.82260218372562,237.5200659991339,65558000
2018-04-24,233.71627807617188,238.15989105648165,232.20543881420204,237.93771040746617,112885500
2018-04-25,234.29393005371094,234.73829132844114,231.8232824510774,233.65404873323305,103840900
2018-04-26,236.67568969726562,237.51109102720625,234.8804799891265,235.32484124455627,67731900
2018-04-27,236.8979949951172,237.59119783352676,235.9559508075778,237.28903527541723,57053600
2018-04-30,235.0760498046875,238.07993686694329,235.0049368006314,237.5200372270754,82182300
2018-05-01,235.49374389648438,235.6003862778874,232.94308704016507,234.50724762517913,74203400
2018-05-02,233.9117889404297,236.1158035341917,233.52074884379576,235.2981939660736,86368900
2018-05-03,233.39642333984375,234.05406966236566,230.22367581009874,233.07649608726751,136311500
2018-05-04,236.41802978515625,237.10236369987143,232.08995408325993,232.4187771802006,91222100
2018-05-07,237.2178192138672,238.1953922565691,236.49792904428452,237.19115862400545,55304900
2018-05-08,237.2178192138672,237.58217156809138,235.6447630470513,236.844543834145,67499200
2018-05-09,239.5107421875,239.83956521207637,237.36891745359867,237.89326053625578,59666100
2018-05-10,241.75039672851562,242.07924698811848,240.150706335782,240.25734874574147,72063900
2018-05-11,242.48800659179688,242.7546125668441,241.35931134687678,241.87478572752246,59871500
2018-05-14,242.60350036621094,243.58107350975945,242.05246958279415,242.92342747755535,54790600
2018-05-15,240.9327392578125,241.38596941063537,239.9817994206828,241.3682047197073,87036100
2018-05-16,241.9458465576172,242.40799969539265,240.94158561949808,240.96827333590483,53942600
2018-05-17,241.741455078125,242.82569778869282,240.9593748119236,241.67923798384473,56536400
2018-05-18,241.1370849609375,241.75920161370055,240.781601354356,241.39482210241485,64368000
2018-05-21,242.9500732421875,243.49220808775854,242.23910606815184,242.6301461503692,58025900
2018-05-22,242.27468872070312,243.73220700615835,241.94586565235812,243.47446982218588,52966400
2018-05-23,242.94117736816406,242.96786508081144,240.83490931512094,240.99489998270917,64694200
2018-05-24,242.44351196289062,242.81678738462114,240.6483020929667,242.54128555115906,76043800
2018-05-25,241.8658447265625,242.49683016430765,241.35926634675576,241.8658447265625,56374800
2018-05-29,239.08413696289062,240.9949121932738,237.9643649629924,240.23059667678842,115908600
2018-05-30,242.27468872070312,242.7190500826104,240.32841090748104,240.39949679185355,69678400
2018-05-31,240.79049682617188,242.16800596982134,240.18617198390376,241.86584354868728,93519900
2018-06-01,243.1544952392578,243.4566576518263,242.02580024226918,242.09691323443818,71258400
2018-06-04,244.309814453125,244.5675515770711,243.74104614561432,243.9809914613621,45385200
2018-06-05,244.4876251220703,244.8697693815731,243.6699882880582,244.4431727131757,51135000
2018-06-06,246.53170776367188,246.6383501638681,244.4787601948895,245.10087702492532,62732200
2018-06-07,246.50498962402344,247.313730465625,245.5896064071183,247.02046393354019,72969400
2018-06-08,247.23374938964844,247.28707057745237,245.87400485732354,246.0428643259234,72139700
2018-06-11,247.5626678466797,248.28253128117223,247.34048710463452,247.45602542996562,58892500
2018-06-12,247.88253784179688,248.2468902676572,247.23376053206005,247.98028431662198,72329000
2018-06-13,247.09152221679688,248.3801807250203,246.8871062725177,248.12244359904378,79070600
2018-06-14,247.7136993408203,248.24691128804062,247.1182431708701,247.96254062341168,77097600
2018-06-15,247.3976287841797,247.73686418012312,245.8086002795867,246.92449184863926,120041600
2018-06-18,246.8887939453125,247.01378688714274,245.45153857495595,245.9335841531478,52917600
2018-06-19,245.94252014160156,246.16569847203857,244.18387380801985,244.6034501589794,97531500
2018-06-20,246.3621063232422,247.03164134127,246.0228708884895,246.62990943307346,53785500
2018-06-21,244.8177032470703,246.37104301976845,244.31778594470416,246.353171316752,71061400
2018-06-22,245.2641143798828,246.20147996251694,245.0409359902255,246.08542284094221,54898500
2018-06-25,241.92532348632812,244.26422815886755,240.22917353050144,244.10354629055186,137854200
2018-06-26,242.46104431152344,243.3180418280834,241.7379484001354,242.49676048738925,68547400
2018-06-27,240.45236206054688,244.48741685986784,240.3005887939629,243.05016134884588,105110700
